kljuc;naziv
0208;Zemljište za odlagalište (materijala, smeća i otpada)
0209;Zemljišta – ostalo
021;Zemljišna prava (višegodišnja)
0210;Zemljište s upisanim pravom građenja (plaćena za više godina)
0211;Pravo služnosti na zemljištu (plaćena za više godina)
0212;Zemljišta u zakupu (plaćena za više godina)
023;Građevinski objekti (za vlastite potrebe)
0230;Poslovne zgrade, uredi i lokali
0231;Tvorničke zgrade, hale i radionice
0232;Zgrade trgovine, hotela, motela, restorana
0233;Skladišta, silosi, nadstrešnice i garaže, staklenici, sušionice, hladnjače
0234;Zgrade montažne, barake, mostovi, drvene konstrukcije i sl.
0235;Ograde (betonske, kamene, metalne i sl.), izlozi, potporni zidovi – brane, športski tereni, šatori, žičare i sl.
0236;Putovi, parkirališta, staze i dr. građevine (rampe i sl.), nadvožnjaci i dr. betonske ili metalne konstrukcije
0237;Cjevovodi, vodospremnici, utvrđene obale, kanali, kanalizacija, dalekovodi
0238;Objekti poljoprivrede i ribarstva
0239;Ostali građevinski objekti (rudnici, brane) i objekti izvan uporabe
024;Stanovi za smještaj zaposlenika
0240;Stanovi za smještaj zaposlenika
0241;Kuće za smještaj zaposlenika
0242;Ostale nastambe za zaposlenike
026;Predujmovi za nabavu nekretnina
0260;Predujmovi za nabavu zemljišta
0261;Predujmovi za građevine u nabavi
027;Nekretnine u pripremi
0270;Zemljišta u pripremi
0271;Građevine u pripremi
028;Vrijednosno usklađenje nekretnina
0280;Vrijednosno usklađenje zemljišta
0281;Vrijednosno usklađenje građevina
029;Akumulirana amortizacija građevina
0290;Akumulirana amortizacija građevina (analitika prema pojedinim građevinama)
0291;Akumulirana amortizacija odlagališta otpada, kamenoloma i sl. (MRS 16., t. 58.)
03;POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA
030;Postrojenja
0300;Tehnička postrojenja, uređaji, spremnici, pogonski motori, platforme i dr.
0301;Strojevi i alati u svezi sa strojevima u pogonima i radionicama za obradu i preradu
0302;Energetska postrojenja (kotlovnice, generatori, naponske i solarne ćelije, vjetro-elektrane, toplinske crpke i dr.)
0303;Rashladna postrojenja
0304;Pokretna postrojenja (dizala, pokretne stepenice, elevatori, pokretne trake i sl.)
0305;Automatske autopraonice i sl. oprema
0306;Mlinska i separatorska postrojenja
0307;Postrojenje za pakiranje, ambalažu i sl.
0308;Brodska postrojenja (dizalice, motori)
0309;Ostala postrojenja i postrojenja izvan uporabe
031;Oprema
0310;Uredska oprema (fotokopirni aparati, telefaksi, blagajne, alarmi, klimatizacijski uređaji, hladnjaci, televizori, i dr.)
0311;Računalna oprema
0312;Telekomunikacijska oprema (mobiteli, tel. centrale, antene i sl.)
0313;Oprema trgovine (blagajne, hladnjaci, i dr.)
0314;Oprema ugostiteljstva, hotela i sl. (aparati, štednjaci, hladnjaci, pokućstvo i sl.)
0315;Oprema servisa (dizalice, ispitni uređaji, aparati i dr.)
0316;Oprema za graditeljstvo i montažu (kranovi, bageri, skele, oplate, miješalice, dizalice, valjci i sl.)
0317;Oprema (aparati) grijanja/hlađenja
0318;Oprema zaštite na radu i protupožarne zaštite
0319;Ostala oprema i oprema izvan uporabe
032;Alati, pogonski inventar i transportna imovina
0320;Transportna imovina
03200;Putnička vozila (osobna i putnički kombi) i motor kotači
032000;Osobni automobili za osobni prijevoz
032001;Osobni automobili za obavljanje djelatnosti (iznajmljivanje, servisna služba itd.)
03201;Teretna i vučna vozila, tegljači i kamioni, cisterne i hladnjače
03202;Priključna transportna sredstva (prikolice)
03203;Teretna dostavna i kombi vozila
03204;Auto miješalice, auto crpke za beton, auto dizalice i sl.
03205;Autobusi
03206;Zrakoplovi
03207;Brodovi (veći od 1000 BRT)
03208;Brodice, jahte i ost. plovila
03209;Ostala transportna sredstva i uređaji (gusjeničari, el. vozila, viljuškari, vagoni, traktori za vuču, bicikli i dr.)
0321;Pokućstvo – inventar
03210;Uredsko pokućstvo, sagovi, zavjese i sl.
03211;Inventar trgovine (police, pregrade, pultovi)
03212;Ugostiteljsko i hotelsko pokućstvo i inventar
03213;Ostalo pokućstvo i inventar
0322;Pogonski i skladišni inventar (stalaže, zatvoreni ormari, skele, oplate, protupožarni aparati, zaštitna sredstva i sl.)
0323;Alati, mjerni i kontrolni instrumenti i pomoćna oprema
0324;Audio i video aparati, kamere, parkir. rampe i sl.
0325;Reklame (svjetleće), stupovi i sl.
0326;Inventar ustanova (aparati, kreveti, ormari, stolovi i sl.)
0327;Ostali inventar (spremnici i dr.)
0328;Višegodišnja ambalaža
0329;Alati, inventar i vozila izvan uporabe
033;Pretporez koji se ne može odbiti (kao dio vrijednosti osobnih automobila)
0330;50% pretporeza od osobnih automobila (v. napomenu pod 2.)
0331;50% i 100% pretporeza od osobnih automobila (n. v. veće od 400.000,00 kn koji su nabavljeni do 31. 12. 2018.)
0332;50% pretporeza od brodova, jahti i dr.
0333;50% i 100% pretporeza od brodova, jahti i dr. (n.v. veće od 400.000,00 kn koji su nabavljeni do 31. 12. 2018.)
0334;50% pretporeza kod vozila N1
034;Poljoprivredna oprema i mehanizacija
0340;Traktori, kombajni, prikolice, kosilice i sl.
0341;Radni priključci (plugovi, beračice, freze, prskalice, sabirače i sl.)
0342;Oprema za mljekarstvo (muzilice, separatori, police, spremnici i sl.)
0343;Oprema ribarstva (kavezi, mreže, čamci i brodovi, pakirnice)
0344;Oprema vinogradarstva (bačve, filteri, preše, punionica)
0345;Oprema voćarstva i maslinarstva
0346;Oprema stočarstva i pčelarstva
0347;Oprema za povrtlarstvo i cvjećarstvo (plastenici, sustav prihrane i dr.)
0348;Oprema za navodnjavanje, grijanje i sl.
0349;Ostala oprema poljoprivrede
035;Ostala materijalna imovina
0350;Umjetnine, slike i sl.
0351;Arhivski predmeti, makete i sl.
0352;Knjige, karte, fotografije i sl.
0353;Oldtimeri (automobili, traktori, kamioni, brodovi i sl.)
0354;Ostala materijalna imovina
036;Predujmovi za materijalnu imovinu
0360;Predujmovi za postrojenja i opremu
0361;Predujmovi za alate, pogonski inventar i transportnu imovinu
0364;Predujam za poljoprivrednu opremu
0367;Predujam za ostalu imovinu
037;Materijalna imovina u pripremi
0370;Postrojenja u pripremi
0371;Oprema u pripremi
0372;Alati, pogonski inventar u pripremi
0373;Osobni automobili i transportna sredstva u pripremi
0374;Poljoprivredna oprema u pripremi
0375;Ostala imovina u pripremi
038;Vrijednosno usklađenje postrojenja i opreme
0380;Vrijednosno usklađenje postrojenja
0381;Vrijednosno usklađenje opreme
0382;Vrijednosno usklađenje alata, pogonskog inventara i transportne imovine
0384;Vrijednosno usklađenje poljoprivredne opreme
0385;Vrijednosno usklađenje ostale mat. imovine
039;Akumulirana amortizacija postrojenja i opreme
0390;Akumulirana amortiz. postrojenja
0391;Akumulirana amortiz. opreme
0392;Akumulirana amortiz. alata, pogonskog inventara i transportnih sredstava
0393;Akumulirana amortiz. osobnih automobila, plovila i zrakoplova (nabavna vrijednost bez PDV-a)
0394;Akumulirana amortizacija poljoprivredne opreme i mehanizacije
0395;Akumulirana amortizacija 50% pretporeza od osobnih automobila
0396;Akumulirana amortiz. 50% i 100% pretporeza od osob. automobila (n. v. veće od 400.000,00 kn koji su nabavljeni do 31. 12. 2018.)
0397;Akumulirana amortiz. 50% od pretporeza od brodova, jahti i dr. sred. za osobni prijevoz
0398;Akumulirana amortiz. 50% i 100% pretporeza od brodova, jahti i dr. sred. za osobni prijevoz (n. v. veće od 400.000,00 kn koji su nabavljeni do 31. 12. 2018.)
0399;Ostala akumulirana amortizacija za opremu
04;BIOLOŠKA IMOVINA
040;Biološka imovina – bilje – višegodišnji nasadi
0400;Voćnjaci
0401;Vinogradi
0402;Maslinici
0403;Plantaže nasada
0404;Parkovi, zelenila i cvijeće (višegodišnje)
0405;Ulaganja u ostale višegodišnje nasade
041;Biološka imovina – životinje – osnovno stado
0410;Goveda – krave
0411;Konji
0412;Mazge, magarci i mule
0413;Svinje
0414;Ovce i koze
0415;Perad
0416;Ribe
0417;Pčelinja društva
0418;Stado divljači
0419;Ostale nespomenute životinje (psi, ptice i dr.)
046;Predujmovi za biološku imovinu
0460;Predujmovi za višegodišnje nasade
0461;Predujmovi na nabavu životinja
047;Biološka imovina u pripremi
0470;Višegodišnji nasadi u pripremi
0471;Životinje (osnovno stado) u nabavi
048;Vrijednosno usklađenje biološke imovine
0480;Vrijednosno usklađenje višegodišnjih nasada
0481;Vrijednosno usklađenje životinja (osnovnog stada)
049;Akumulirana amortizacija biološke imovine
0490;Akumulirana amortiz. višegodišnjih nasada
0491;Akumulirana amortiz. životinja (osnovnog stada)
05;ULAGANJA U NEKRETNINE
050;Ulaganja u nekretnine – zemljišta
051;Ulaganja u nekretnine – građevine
0510;Građevine u najmovima (poslovne zgrade, skladišta, stanovi, apartmani, kuće)
0511;Građevine izvan uporabe (zgrade, skladišta, stanovi, apartmani, kuće)
056;Predujmovi za ulaganja u nekretnine
0560;Predujam za ulaganja u zemljište
0561;Predujam za ulaganje u građevine
057;Ulaganja u nekretnine u pripremi
0570;Ulaganja u zemljišta u nabavi
0571;Ulaganja u građevine u nabavi
0572;Ulaganja u građevine u izgradnji
058;Vrijednosno usklađenje ulaganja u nekretnine
0580;Vrijednosno usklađenje ulaganja u zemljište
0581;Vrijednosno usklađenje ulaganja u građevine
059;Akumulirana amortizacija ulaganja u građevine
06;DUGOTRAJNA FINANCIJSKA IMOVINA (S POVRATOM DUŽIM OD JEDNE GODINE)
060;Ulaganja u udjele (dionice) i ostale vrijednosne papire poduzetnika unutar grupe
0600;Ulaganja u udjele (dionice) poduzetnika unutar grupe
06000;Ulaganje u kapitalne pričuve
0601;Ulaganja u ostale vrijednosne papire poduzetnika unutar grupe
061;Dani zajmovi, depoziti i slično poduzetnicima unutar grupe
0610;Dani dugotrajni zajmovi poduzetnicima unutar grupe
0611;Dani dugotrajni depoziti poduzetnicima unutar grupe
0612;Dane kaucije, kapare i slično poduzetnicima unutar grupe
062;Ulaganja u udjele (dionice) i ostale vrijednosne papire društava povezanih sudjelujućim interesom
0620;Ulaganja u udjele (dionice) društava povezanih sudjelujućim interesom
06200;Ulaganje u kapitalne pričuve
0621;Ulaganja u ostale vrijednosne papire društava povezanih sudjelujućim interesom
063;Dani zajmovi, depoziti i slično društvima povezanim sudjelujućim interesom
0630;Dani dugotrajni zajmovi društvima povezanim sudjelujućim interesom
0631;Dani dugotrajni depoziti društvima povezanim sudjelujućim interesom
0632;Dane kaucije, kapare i slično društvima povezanim sudjelujućim interesom
064;Ulaganja u vrijednosne papire (dugotrajne)
0640;Ulaganja u mjenice, zadužnice (kupljene)
0641;Ulaganja u državne obveznice
0642;Dugotrajna ulaganja u obveznice društva
0643;Dugotrajna ulaganja u blagajničke zapise
0644;Dugotrajna ulaganja u opcije, certifikate i sl.
0645;Ulaganja u robne ugovore
0646;Ulaganja u ostale vrijednosne papire (HSFI 9)
06460;Ulaganja u udjele (dionice) raspoložive za prodaju
06461;Vrijednosni papiri po amortiziranom trošku
0647;Ulaganje u vrijednosne papire (MSFI 9)
06470;Ulaganja u udjele (dionice) kroz ostali sveobuhvatni dobitak
06471;Vrijednosni papiri po amortiziranom trošku
0648;Ulaganja u udjele (dionice) povezanih osoba (koje nisu grupa ni sudjelujući interesi)
06480;Ulaganje u kapitalne pričuve
0649;Nezarađeni prihodi u financijskim instrumentima
065;Dani zajmovi, depoziti i sl.
0650;Dani dugotrajni zajmovi
06500;Dani zajmovi vanjskim pravnim osobama (nepovezanim)
06501;Dani zajmovi vanjskim fizičkim osobama – obrtnicima
06502;Dani zajmovi kooperantima
06503;Dani zajmovi zaposlenicima
06504;Oročenja u bankama
06505;Financijski zajmovi dani u inozemstvo (nepovezanim osobama)
06506;Dani zajmovi povezanim osobama (koji nisu grupa ni društva povezana sudjelujućim interesom)
06509;Ostali dugotrajni zajmovi
0651;Depoziti dugotrajni
06510;Depoziti iz poslovnih aktivnosti
06511;Depoziti kod osiguravajućih društava
06512;Depoziti u poslovnim bankama
06513;Depoziti na carini (garancija špeditera)
06514;Sudski depoziti
0652;Kaucije i kapare
06520;Kaucije za obveze
06521;Kaucije iz kupoprodajnih poslova
06522;Kaucije za plaćanja
06523;Dane kapare i osiguranja
066;Ulaganja koja se obračunavaju metodom udjela
0660;Ostala ulaganja (udjeli) (zajedničko ulaganje ili dugotrajno ulaganje)
0661;Ulaganje zajednički kontrolirano društvo s više od 20% udjela
067;Ostala dugotrajna financijska imovina
0670;Ulaganja u investicijske fondove (s rokom dužim od 1 god.)
0671;Derivativna imovina
0672;Ulaganja u investicijsko zlato
0673;Ostala nespomenuta dugoročna ulaganja
068;Vrijednosno usklađenje financijske imovine – dugotrajne (analitika prema oblicima imovine)
069;Nezarađene kamate u kreditima i sl.
0690;Ispravak vrijednosti obveznica i sl. za diskont/premiju
07;POTRAŽIVANJA (DULJA OD JEDNE GODINE)
070;Potraživanja od poduzetnika unutar grupe
0700;Potraživanja od poduzetnika unutar grupe za isporučene robe i usluge
0701;Ostala potraživanja unutar grupe
07010;Potraživanja s temelja realiziranih jamstava i sl.
071;Potraživanja od društava povezanih sudjelujućim interesom
0710;Potraživanja od društava povezanih sudjelujućim interesom za isporučene robe i usluge
0711;Ostala potraživanja od društava povezanih sudjelujućim interesom
07110;Potraživanja s temelja realiziranih jamstava i sl.
072;Potraživanja od kupaca – dugotrajna
0720;Potraživanja s osnove prodaje na robni kredit
0721;Potraživanja s osnove prodaje na robni kredit u inozemstvu
0722;Potraživanja za prodane usluge na kredit
0723;Potraživanje za dugotr. imovinu prodanu na kredit
0724;Potraživanja za prodani udjel na kredit
0725;Potraživanja za prodaju na potrošački kredit
0726;Potraživanje za prodaju uz obročnu otplatu
0729;Ostala potraživanja iz prodaje na kredit
073;Potraživanja iz faktoringa
074;Potraživanja za jamčevine
0740;Potraživanja za jamčevine iz operativnog lizinga
0741;Jamstvo za dobro izvedene radove
0742;Jamčevine iz natječaja
0743;Jamčevine za štete
075;Potraživanja u sporu i rizična potraživanja
076;Potraživanja za predujmove za usluge
077;Ostala potraživanja – dugotrajna
0770;Potraživanja od radnika
0771;Potraživanja od članova društva
0772;Potraživanja iz ortaštva
0773;Potraživanja iz predstečajne nagodbe
0774;Dodatni troškovi stjecanja ugovora s kupcem (MSFI 15)
0775;Dodatni troškovi ispunjanja ugovora s kupcem
078;Vrijednosno usklađivanje dugotrajnih potraživanja
079;Potraživanja za nezarađenu kamatu
08;ODGOĐENA POREZNA IMOVINA
080;Odgođena privremena razlika poreza na dobitak (analitika po godinama)
0800;Odgođena porezna imovina s osnove poreznog gubitka
0801;Odgođena porezna imovina s osnove povećane amortizacije
0802;Odgođena porezna imovina s osnove otpisa potraživanja
0803;Odgođena porezna imovina s osnove drugih troškova
0804;Odgođena porezna imovina s osnove fer vrijednosti dionica raspoloživih za prodaju
081;Ostala odgođena porezna imovina
1;NOVAC, KRATKOTRAJNA FINANCIJSKA IMOVINA, KRATKOTRAJNA POTRAŽIVANJA, TROŠKOVI I PRIHOD BUDUĆEG RAZDOBLJA
10;NOVAC U BANKAMA I BLAGAJNAMA
100;Transakcijski računi u bankama
1000;Transakcijski račun u banci (analitika po računima u bankama i štedionicama)
1004;Račun društva u stečaju
