kljuc;naziv
1282;Potraživanja za tantijeme (nadoknade za korištenje patenta, znaka i autorskih prava)
1283;Potraživanja stečena cesijom, asignacijom i preuzimanjem duga od prodaje
1284;Potraživanja za nadoknadu troškova iz jamstva
1285;Potraživanja od kooperanata, zadrugara, OPG-a, ustanove
1286;Potraživanja od članova društva za pokriće gubitka
1287;Potraživanja za dana jamstva i činidbe
1288;Potraživanja za poreze iz poslovnih odnosa
1289;Ostala potraživanja
12890;Potraživanja za povratnu naknadu
129;Vrijednosno usklađenje potraživanja
1290;Vrijednosno usklađenje potraživanja od kupaca
1291;Vrijednosno usklađenje potraživanja od povezanih društava
1292;Vrijednosno usklađenje od poduzetnika iz sudjelujućih interesa
1293;Vrijednosno usklađenje kamata
1294;Vrijednosno usklađenje za dane predujmove za usluge
1295;Vrijednosno usklađenje ostalih potraživanja (računi 126 do 128)
13;POTRAŽIVANJA OD ZAPOSLENIH I OSTALA POTRAŽIVANJA (KRATKOTRAJNA)
130;Potraživanja od zaposlenih
1300;Potraživanja od zaposlenih za više isplaćenu plaću
1301;Potraživanja za isplaćeni predujam za službeni put
1302;Potraživanja za dane novčane svote za nabave u gotovini (za tržišni nakup, za karnete i dr.)
1303;Potraživanja za manjkove i učinjene štete (s PDV-om)
1304;Potraživanja za prehranu, kazne, za korištenje odmarališta i sl.
1305;Potraživanja od zaposlenih za manje plaćene poreze i doprinose
1306;Potraživanja od zaposlenika za plaćene privatne troškove (npr. po službenoj kred. kartici)
1307;Potraživanja od zaposlenika za primitak u naravi
1309;Ostala potraživanja od zaposlenih
131;Potraživanja od vanjskih suradnika
1310;Potraživanja za predujmljene honorare
1311;Potraživanja za isplaćene svote
1319;Ostala potraživanja od vanjskih suradnika
133;Potraživanja od članova poduzetnika
1330;Potraživanja od članova društva za predujmljeni dobitak – dividendu (+ porez 12%)
1331;Potraživanja od članova društva za privatne troškove
1332;Potraživanja od članova ustanove
1333;Potraživanja od članova zadruge
1334;Potraživanje od obrtnika (dobitaša)
1335;Potraživanja od prodaje članu društva
134;Potraživanja u sporu i rizična potraživanja (iz skupine 12 i 13)
1340;Potraživanja od kupaca u sporu za glavnicu
1341;Potraživanja od kupaca u sporu za kamate
1342;Potraživanja od kupaca za troškove iz sporova
1343;Potraživanja u sporu od ostalih subjekata
135;Potraživanja za sredstva u slobodnoj zoni
136;Potraživanja za prodaju na potrošački kredit
137;Potraživanja od poslovnih jedinica u inozemstvu
1370;Potraživanja za isporučena dobra i usluge
1371;Potraživanja za doznake novca, za dobitak i dr.
138;Ostala poslovna potraživanja
1380;Potraživanja za naknadno odobreni popust
1381;Potraživanja od ortaka
1382;Potraživanja od zastupnika
1383;Potraživanja iz prodaje vlastitog udjela (dionica)
1389;Ostala poslovna potraživanja
139;Vrijednosno usklađenje potraživanja od zaposlenih, članova društva i ostalih potraživanja
14;POTRAŽIVANJA OD DRŽAVE ZA POREZE, CARINU I DOPRINOSE
140;Porez na dodanu vrijednost
1400;Pretporez po primljenim isporukama i predujmovima u RH
14001;Pretporez po ulaznim računima
140010;Pretporez – 5%
140011;Pretporez – 13%
140012;Pretporez – 25%
140013;Pretporez – 23%
14002;Pretporez iz predujmova
140020;Pretporez iz predujmova – 5%
140021;Pretporez iz predujmova – 13%
140022;Pretporez iz predujmova – 25%
140023;Pretporez iz predujmova – 23%
14003;Ispravci pretporeza
140030;Ispravak pretporeza zbog izlaska iz sustava PDV-a
140031;Ispravak pretporeza zbog prenamjene dobara (oslobođene isporuke)
140032;Ispravak pretporeza zbog promjene postotka priznavanja pretporeza – usklađenje
140033;Ispravak pretporeza zbog ulaska u sustav PDV-a
1401;Pretporez iz prenesene porezne obveze u tuzemstvu – 25%
14010;Pretporez od predujmova iz prenesene porezne obveze – 25%
14011;Pretporez po ulaznim računima iz prenesene porezne obveze – 25%
1402;Pretporez od stjecanja dobara unutar EU
14020;Pretporez od stjecanja dobara iz EU – 5%
14021;Pretporez od stjecanja dobara iz EU – 13%
14022;Pretporez od stjecanja dobara iz EU – 25%
1403;Pretporez od primljenih usluga iz EU
14030;Pretporez od primljenih usluga iz EU – 5%
14031;Pretporez od primljenih usluga iz EU – 13%
14032;Pretporez od primljenih usluga iz EU – 25%
1404;Pretporez od primljenih isporuka dobara i usluga od poreznih obveznika bez sjedišta u RH
14040;Pretporez od poreznih obveznika bez sjedišta u RH – 5%
14041;Pretporez od poreznih obveznika bez sjedišta u RH – 13%
14042;Pretporez od poreznih obveznika bez sjedišta u RH – 25%
1405;PDV pri uvozu dobara
14050;PDV pri uvozu dobara – 5%
14051;PDV pri uvozu dobara – 13%
14052;PDV pri uvozu dobara – 25%
1406;Pretporez stečen po ugovoru o asignaciji ili iz preknjižavanja
1407;Potraživanja za razliku većeg pretporeza od obveza u razdoblju oporezivanja
1408;Pretporez koji još nije moguće priznati
14080;Pretporez za koji nije stečen uvjet za priznavanje
140800;Pretporez za koji nije stečen uvjet priznavanja – 5%
140801;Pretporez za koji nije stečen uvjet priznavanja – 13%
140802;Pretporez za koji nije stečen uvjet priznavanja – 25%
1409;Pretporez u drugim zemljama u kojima je porezni obveznik registriran za potrebe PDV-a (moguća analitika po zemljama)
14090;Pretporez u Sloveniji
140900;Pretporez po primljenim isporukama dobara
140901;Pretporez po primljenim isporukama usluga
140902;Potraživanja za razliku većeg pretporeza od obveza
14091;Pretporez u Austriji
140910;Pretporez po primljenim isporukama dobara
140911;Pretporez po primljenim isporukama usluga
140912;Potraživanja za razliku većeg pretporeza od obveza
141;Potraživanja za porez na dohodak iz plaća i drugih primanja
1410;Potraživanja za porez na dohodak iz plaća
14100;Za republički
14101;Za lokalni
1411;Potraživanja za prirez iz plaća (do 31. 12. 2023.)
1412;Potraživanja za porez na dohodak iz autorskih prava, ugovora o djelu, dohodaka članova nadzornog odbora i drugih dohodaka
1413;Potraživanja za porez na stipendije i nagrade učenika i studenta
1414;Potraživanja za poreze iz drugih dohodaka
1415;Potraživanja za više plaćeni porez na dohodak od kamata
1417;Potraživanja za više plaćeni porez na dohodak od kapitala
1419;Potraživanje za više plaćene ostale poreze na dohodak
142;Potraživanja za više plaćene doprinose iz plaća i na plaće
1420;Potraživanja za više plaćene doprinose za MO iz plaće
1421;Potraživanja od MO za više plaćeni doprinos za beneficirani staž
1422;Potraživanja za više plaćeni doprinos za zdravstveno osiguranje na plaće
1423;Potraživanja za više plaćeni dopr. za zdrav. osigur. za slučaj ozljede na radu i prof. bolesti
1424;Potraživanja za više plaćeni doprinos za zapošljavanje na plaće
1429;Potraživanja za ostale nespomenute doprinose
143;Potraživanja za porez na dobitak i po odbitku
1430;Potraživanja za plaćene predujmove poreza na dobitak
1431;Potraživanje za više plaćeni porez na dobitak po godišnjoj prijavi
1432;Potraživanja za više plaćeni porez po odbitku (na inozemne usluge)
1433;Potraživanja za porez na dobitak stečen po ugovoru o cesiji ili iz preknjižavanja
1434;Porez na dobitak plaćen u inozemstvu
1435;Potraživanja za porez po tonaži broda
144;Potraživanja za posebne poreze, trošarine i druge poreze od države
1440;Potraživanja za poseban porez na motorna vozila (PPMV)
1441;Potraživanja za poseban porez na kavu
1442;Potraživanja za poseban porez na bezalkoholna pića
1443;Potraživanja za trošarinu na alkohol i alkoholna pića
1444;Potraživanja za trošarinu na električnu energiju i energente
1445;Potraživanja za trošarinu na duhanske proizvode duhanske prerađevine
1446;Potraživanja za trošarinu na energente – naftni derivati i naknade za ceste
1447;Potraživanja za 3% poreza na promet nekretnina
1448;Potraživanja za upravnu pristojbu
145;Potraživanja za plaćenu ili više plaćenu članarinu TZ
146;Potraživanja za članarine komori (HGK ili HOK i dr.)
147;Potraživanja za carinu i više plaćene carinske pristojbe
148;Potraživanja za županijski i općinski (gradski) porez
1480;Potraživanja za više plaćeni porez na cestovna motorna vozila i plovne objekte
1481;Potraživanja za porez na kuće za odmor i korištenje javnih površina
1482;Potraživanja za porez na reklamu
1483;Potraživanja za porez na potrošnju u ugostiteljstvu
1484;Potraživanja za plaćeni porez na priređivanje zabavnih i športskih priredbi
1485;Potraživanja za plaćeni porez na nasljedstva i darove
1486;Potraživanja za više plaćeni porez na imovinu
1487;Potraživanja za ostale poreze županije (grada), općine
149;Potraživanja za ostale nespomenute poreze, doprinose, takse i pristojbe
1490;Potraživanja za više plaćenu nadoknadu za šume
1491;Potraživanje za sred. za komunalnu izgradnju
1492;Potraživanja za više plaćene kazne i sl.
1493;Potraživanja za turističku pristojbu
1494;Potraživanja za više uplaćene naknade za iskorištavanje mineralnih sirovina
1495;Potraživanja za više plaćene poreze na koncesije
1496;Potraživanja za spomeničku rentu
1497;Potraživanje od Fonda za zaštitu okoliša (ambalažu)
1499;Potraživanja za ostala više plaćena davanja
15;OSTALA POTRAŽIVANJA OD DRŽAVNIH I DRUGIH INSTITUCIJA
150;Potraživanje za nadoknade bolovanja od HZZO
151;Potraživanja od mirovinskog osiguranja
152;Potraživanja od lokalne samouprave
153;Potraživanje za regrese, premije, stimulacije i državne potpore
154;Potraživanje od FZOEU
1540;Potraživanja od FZOEU za uslugu otkupa ambalaže
1541;Potraživanja od FZOEU za povratnu naknadu
155;Ostala potraživanja od državnih institucija
156;Potraživanja za više plaćenu naknadu s temelja invaliditeta
159;Vrijednosno usklađenje potraživanja od države i drugih institucija
19;PLAĆENI TROŠKOVI BUDUĆEG RAZDOBLJA I OBRAČUNANI BUDUĆI PRIHODI
190;Unaprijed plaćeni troškovi
1900;Unaprijed plaćeni troškovi održavanja, opreme, postrojenja i građevina
1901;Unaprijed plaćena zakupnina iz operativnog – poslovnog najma
19010;Unaprijed plaćena zakupnina
19011;Unaprijed plaćeni a nepriznati PDV na zakupninu (osob. automobila)
1902;Unaprijed plaćeni troškovi reklame, propagande i sajmova
1903;Unaprijed plaćeni troškovi energije za sljedeće razdoblje
1904;Unaprijed plaćeni troškovi osiguranja imovine i osoba koje rade na opasnim poslovima ili putnika u prometu i sl.
1905;Unaprijed plaćene kamate na bankovna jamstava i sl.
1906;Unaprijed plaćeni troškovi reprezentacije
1907;Unaprijed plaćene pretplate na službena glasila i stručne časopise
1908;Unaprijed isplaćene plaće za buduće razdoblje
1909;Unaprijed plaćeni ostali troškovi poslovanja (troškovi prijevoza, bankovne usluge, zdravstvena zaštita, autorski honorari, rad po ugovoru i sl.)
191;Obračunani prihodi (budućeg razdoblja)
192;Unaprijed plaćeni ovisni troškovi nabave (koji nisu na 651)
193;Troškovi kamata iz budućeg razdoblja
194;Unaprijed plaćeni troškovi koncesija (za razdoblje do 12 mj.)
195;Unaprijed plaćene franšize, trgovačko znakovlje, prava i sl. (do 12 mj.)
196;Unaprijed plaćene licencije i patenti (do 12 mj.)
197;Derivativ – instrument zaštite
199;Ostali plaćeni troškovi budućeg razdoblja
1990;Unaprijed plaćene provizije
1999;Ostala aktivna vremenska razgraničenja
2;KRATKOROČNE I DUGOROČNE OBVEZE, DUGOROČNA REZERVIRANJA, ODGOĐENO PLAĆANJE I PRIHODI BUDUĆEG RAZDOBLJA
20;KRATKOROČNE OBVEZE PREMA PODUZETNICIMA UNUTAR GRUPE I S OSNOVE UDJELA U REZULTATU (DO JEDNE GODINE)
200;Obveze prema poduzetnicima unutar grupe
2000;Obveze prema poduzetnicima unutar grupe
20000;Obveze prema poduzetnicima unutar grupe za primljene robe i usluge
20001;Obveze za raspoređeni dobitak prema poduzetnicima unutar grupe
20002;Obveze za kamatu prema poduzetnicima unutar grupe
20003;Obveze za predujmove prema poduzetnicima unutar grupe
20004;Ostale obveze prema poduzetnicima unutar grupe
20005;Obveze po realiziranim jamstvima unutar grupe
2001;Obveze za zajmove, depozite i slično poduzetnika unutar grupe
20010;Obveze za zajmove poduzetnika unutar grupe
20011;Obveze za depozite poduzetnika unutar grupe
20012;Obveze za kaucije, kapare i slično poduzetnika unutar grupe
201;Obveze s osnove udjela u rezultatu
2010;Obveze s osnove udjela u dobitku (analitika prema članovima društva)
2011;Obveze za dividende dioničarima
2012;Obveze za dobitke društava s udjelom do 20 % u kapitalu
2013;Obveze prema zadrugarima iz rezultata
2014;Obveze iz dobitka prema tajnim članovima
2015;Obveze za dobitak obrtnika dobitaša
2016;Ostale obveze s osnove udjela u dobitku
21;KRATKOROČNE FINANCIJSKE OBVEZE
210;Obveze za izdane čekove
211;Obveze za izdane mjenice
212;Obveze po izdanim vrijednosnim papirima
2120;Obveze po izdanim komercijalnim zapisima
2121;Obveze po izdanim obveznicama
2122;Obveze po izdanim zadužnicama
2123;Obveze po ostalim kratkoročnim vrijednosnim papirima
2124;Obveze po realiziranim jamstvima
2128;Obveze za kamate sadržane u vrijed. papirima
213;Obveze prema društvima povezanim sudjelujućim interesom
2130;Obveze prema društvima povezanim sudjelujućim interesom
21300;Obveze prema društvima povezanim sudjelujućim interesom za primljene robe i usluge
21301;Obveze za raspoređeni dobitak prema društvima povezanim sudjelujućim interesom
21302;Obveze za kamatu prema društvima povezanim sudjelujućim interesom
21303;Obveze za predujmove prema društvima povezanim sudjelujućim interesom
21304;Ostale obveze prema društvima povezanim sudjelujućim interesom
2131;Obveze za zajmove, depozite i slično društava povezanih sudjelujućim interesom
21310;Obveze za zajmove društava povezanih sudjelujućim interesom
21311;Obveze za depozite društava povezanih sudjelujućim interesom
21312;Obveze za kaucije, kapare i slično društava povezanih sudjelujućim interesom
21313;Obveze po realiziranim jamstvima iz sudj. interesa
214;Obveze s osnove zajmova, depozita i sl.
2140;Obveze za financijske zajmove od društava
2141;Obveze za zajmove od ustanova, zadruga i sl.
2142;Obveze za kratkoročne zajmove iz inozemstva
2143;Obveze za dio dospjelih dugoročnih zajmova koji se trebaju platiti u roku 12 mj.
2144;Obveze za zajmove prema građanima
2145;Obveze za zajmove članova društva
2146;Obveze po kontokorentnom računu
2147;Obveze za depozite, jamčevine, kapare i kaucije
2148;Obveze za zajmove prema povezanim osobama koje nisu ni grupa ni društva povezana sudjelujućim interesom
2149;Ostali kratkoročni zajmovi i sl.
215;Obveze prema bankama i drugim financijskim institucijama
2150;Obveze za kratkoročne kredite u banci (analitika po bankama a unutar banke po ugovorima o kreditu)
2151;Obveze za kratkoročne kredite u osiguravajućim društvima (analitika po društvima i kreditima)
2152;Obveze prema ostalim kreditnim institucijama (štedionicama, mirovinskom fondu i dr.)
2153;Kratkoročne obveze za najmove
21530;Kratkoročne obveze za operativne najmove
21531;Kratkoročne obveze za financijske najmove
2154;Obveze prema kreditnim institucijama i bankama u inozemstvu
2155;Obveze prema bankama po naplaćenim garancijama
2156;Obveze po isplaćenom akreditivu
2157;Obveze za prekoračenje na računu (okvirni kredit)
2158;Obveze za kamate prema bankama i financijskim institucijama
2159;Ostale obveze prema kreditnim institucijama
216;Obveze prema izdavateljima kreditnih kartica (analitika prema kartičarima)
217;Obveze iz eskontnih poslova
2170;Obveze s temelja eskontiranih mjenica
2171;Ostale obveze iz eskonta vrijednosnih papira
2172;Obveze iz otkupa tražbina – faktoringa
218;Obveze s osnove dugotrajne imovine namijenjene prodaji (analitika prema izvorima)
22;OBVEZE PREMA DOBAVLJAČIMA, ZA PREDUJMOVE I OSTALE OBVEZE
220;Obveze prema dobavljačima u zemlji (analitika prema dobavljačima)
2200;Dobavljači dobara
2201;Dobavljači usluga
2202;Dobavljači opreme, postrojenja i nekretnina
2203;Dobavljači nematerijalne imovine
2204;Dobavljači za najmove
2205;Dobavljači iz ortačkog ugovora
2206;Dobavljači zadruge, ustanove i dr.
2208;Dobavljači povezane osobe koje nisu grupa ni društva povezana sudjelujućim interesom
221;Dobavljači iz EU i inozemstva (analitika prema dobavljačima)
2210;Dobavljači dobara iz EU
2211;Dobavljači dobara iz trećih zemalja
2212;Dobavljači usluga iz EU
2213;Dobavljači usluga iz trećih zemalja
2214;Dobavljači prava intelektualnog vlasništva, istraživanja tržišta i dr.
2215;Dobavljači prava na franšizu, uporabu imena i sl.
2216;Dobavljači povezane osobe iz EU koji nisu grupa ni društva povezana sudjelujućim interesom
2217;Dobavljači povezane osobe iz trećih zemalja koji nisu grupa ni društva povezana sudjelujućim interesom
2218;Dobavljači računalnih programa
2219;Dobavljači otpremničkih i dr. usluga iz inozemstva
222;Dobavljači fizičke osobe
2220;Dobavljači obrtnici i slobodna zanimanja
2221;Dobavljači OPG-i (za isporučene osnovne proizvode poljodjelstva, ribarstva i šumarstva)
2222;Dobavljači za isporučenu osobnu imovinu
2223;Obveze s osnove autorskih prava, inovacija, patenata i sl.
2224;Obveze s osnove ugovora o djelu, i akviziterstva i posredovanja
2225;Obveze prema studentima i učenicima za rad preko studentskog servisa
2226;Dobavljači kooperanti – fizičke osobe
2227;Dobavljači fizičke osobe iz EU
2228;Dobavljači bilježnici, odvjetnici i sl.
2229;Ostali dobavljači – fizičke osobe
223;Dobavljači komunalnih usluga
2230;Obveze za energetske isporuke
2231;Obveze za usluge odvodnje i odvoza smeća
2232;Obveze za ostale komunalne usluge
224;Obveze za nefakturirane a preuzete isporuke robe i usluge
225;Obveze za predujmove
2250;Primljeni predujmovi za koje su izdani računi s PDV-om
2251;Primljeni predujmovi koji nisu pod PDV-om
2252;Primljeni predujmovi iz inozemstva
2253;Obveze za predujmove građana
2254;Predujmovi za građevinske usluge (s prijenosom porezne obveze)
2255;Ostale obveze za predujmove
23;OBVEZE PREMA ZAPOSLENIMA I OSTALE OBVEZE
230;Obveze prema zaposlenicima
2300;Obveze za neto-plaće
2301;Nadoknade plaća koje se refundiraju (od državnih institucija, od HZZO, od lokalne samouprave)
2302;Obveze za nadoknade troškova (dnevnice, dnevnice za rad na terenu, nadoknade troškova službenog puta, uključivo i kilometraža i dr. – veza s 460)
2303;Obveze za nadoknade troškova i naknade (prijevoz na posao i s posla, naknada za odvojeni život, naknade za smještaj i prehranu radnika, skrb djeteta radnika, troškove turist. usluga i dr. – veza s 461)
2304;Obveze za prigodne nagrade zaposlenicima i nagrade za radne rezultate te darove djeci (veza s 462 – dio)
2305;Obveze prema zaposlenima s temelja otpremnine, jubilarne nagrade, nadoknade za odvojeni život, pomoći obitelji umrlog posloprimca, premije zdrav. osig. (veza s 462 – dio)
2306;Obveze za obustave iz neto-plaća i nadoknada plaća
23060;Obveze za obustave iz neto-plaće za isplate kredita i pozajmica
23061;Obveze za obustave iz neto-plaća i nadoknada za sudske zabrane, kazne i sl.
23062;Obveze iz ovrha na neto-plaći
23063;Obveze za obustave iz neto-plaća i nadoknada plaća za članarine, i dr.
23064;Obveze za obustave za privatne troškove
2307;Obveze prema zaposlenima za zatezne kamate i sl.
2308;Obveza prema zaposlenima za naknadu šteta: zbog ozljede na radu, neiskorištenog godišnjeg odmora i sl.
2309;Ostale obveze prema zaposlenicima
23090;Obveze za obračunanu bruto-plaću iz prošle poslovne godine (koje nisu isplaćene i XIII. plaća)
23091;Obveze prema zaposlenicima za napojnice
231;Kratkoročne obveze iz nabava i potpora
2310;Obveze s temelja tekuće nabave u gotovini
2311;Obveze prema vanjskim članovima uprave, nadzornog odbora, prokuristima, stečajnim upraviteljima i sl.
2312;Obveze za preuzeta plaćanja temeljem ugovora o cesiji, asignaciji i preuzimanjem duga
2313;Obveze za ugovorene penale, kazne i sl.
2314;Obveze za darovanja (do 2% od ukupnog prihoda)
2315;Obveze za nadoknadu troškova (refundacije)
2316;Obveze za naknadno odobrene bonifikacije, cassa sconto i druge popuste
2317;Obveze za stipendije
2318;Obveze s osnove povrata robe
2319;Ostale kratkoročne obveze (npr. prema vanjskim suradnicima)
232;Obveze za kamate (analitika prema dužnicima i vrstama obveza prema nepovezanim društvima)
2320;Obveze za ugovorenu kamatu
2321;Obveze za zateznu kamatu
2322;Obveze za kamate na zajmove poduzetnika
2323;Obveze za kamate po sudskim sporovima
2324;Obveze za kamate s temelja poreza
2325;Obveze za kamate prema građanima
233;Društvene i članske obveze
2330;Obveze društva prema članu (članovima) društva
2331;Obveze za isplate iz kapitalnih pričuva
2332;Obveze za isplate iz smanjenja temeljnog kapitala
2333;Obveze člana (članova) društva prema društvu
234;Obveze prema osiguravajućim društvima
2340;Obveze iz osiguranja imovine i osoba
2341;Obveze za životna osiguranja
2342;Obveze za III. stup mirovinskog osiguranja
2343;Obveze za premije zdravstvenog osiguranja
2344;Obveze za dopunsko zdravstveno osiguranje
235;Obveze iz komisijskih, konsignacijskih i zajedničkih poslova
2350;Obveze po obračunu prodaje
2351;Obveze iz zastupničke prodaje
236;Obveze iz vanjskotrgovačkog poslovanja
2360;Obveze prema uvozniku (ili naručitelju)
2361;Obveze po poslovima izvoza za tuđi račun
237;Obveze prema poslovnim jedinicama u inozemstvu
2370;Obveze prema P.J. u inozemstvu
2371;Obveze prema podružnicama u inozemstvu
238;Obveze iz stjecanja udjela
2380;Obveze za uplaćeni a neupisani temeljni kapital
2381;Obveze iz kupnje poslovnog udjela – dionica
239;Ostale kratkoročne obveze
2390;Obveze prema odštetnim zahtjevima
2391;Obveze za poreze po poreznom nadzoru
2392;Obveze za PDV iz poslovnih odnosa
2393;Obveze za komunalnu uslugu i naknadu
23930;Obveza za komunalnu uslugu (čl. 53. Zakona o komunalnom gospodarstvu)
23931;Obveza za komunalnu naknadu (čl. 91. Zakona o komunalnom gospodarstvu)
23932;Obveza za financiranje gradnje komunalne infrastrukture iz cijene usluge (čl. 54. Zakona o komunalnom gospodarstvu)
2394;Obveze iz primjene valutne klauzule
2395;Obveze s osnove sudskih presuda
2396;Obveze iz ortaštva ili zajedničkog poslovanja
2397;Obveze za tuđa sredstva
2398;Obveze za izdane vrijednosne kupone (bonove)
23980;Obveze za izdane jednonamjenske vrijednosne kupone
23981;Obveze za izdane višenamjenske vrijednosne kupone
2399;Ostale nespomenute obveze
23990;Obveze prema brokerima za kupljene vrijednosne papire
23991;Obveze iz faktoringa za unovčenje budućih ugovora (učinaka)
23992;Ostale obveze za isplatu
23993;Obveze za danu napojnicu
23994;Obveze za troškove izborne promidžbe i donacije (prema Zakonu o financiranju političkih aktivnosti, izborne promidžbe i referenduma – Nar. nov., br. 29/19. i 98/19.)
24;KRATKOROČNE OBVEZE ZA POREZE, DOPRINOSE I SLIČNA DAVANJA
240;Obveze za porez na dodanu vrijednost
2400;Obveze za PDV
24001;Obveza za PDV po isporukama
240010;Obveza za PDV – 5%
240011;Obveza za PDV – 13%
240012;Obveza za PDV – 25%
240013;Obveza za PDV – 23%
24002;Obveza za PDV za primljene predujmove
240020;Obveza za PDV za predujam – 5%
240021;Obveza za PDV za predujam – 13%
240022;Obveza za PDV za predujam – 25%
240023;Obveza za PDV za predujam – 23%
24003;Obveza za PDV po nezaračunanim isporukama
240030;Obveza za PDV po nezaračunanim isporukama – 5%
240031;Obveza za PDV po nezaračunanim isporukama – 13%
240032;Obveza za PDV po nezaračunanim isporukama – 25%
240033;Obveza za PDV po nezaračunanim isporukama – 23%
24004;Obveza za PDV s osnove vlastite potrošnje – 25%, 13% ili 5%
24005;Obveza za ispravljeni PDV zbog prenamjene dobara
24006;Obračunana a nedospjela obveza za PDV
2401;Obveza za PDV iz prenesene porezne obveze iz tuzemstva – 25%
24010;Obveza PDV-a po predujmu iz prenesene porezne obveze – 25%
24011;Obveza PDV-a po isporukama iz prenesene porezne obveze – 25%
2402;Obveze za PDV za stjecanje dobara iz EU
24020;Obveze za PDV za stjecanje dobara iz EU – 5%
24021;Obveze za PDV za stjecanje dobara iz EU – 13%
24022;Obveze za PDV za stjecanje dobara iz EU – 25%
2403;Obveze za PDV za primljene usluge iz EU
24030;Obveze za PDV za primljene usluge iz EU – 5%
24031;Obveze za PDV za primljene usluge iz EU – 13%
24032;Obveze za PDV za primljene usluge iz EU – 25%
2404;Obveza PDV-a od poreznih obveznika bez sjedišta u RH
24040;Obveza PDV-a za primljena dobra i usluge od poreznih obveznika bez sjedišta u RH – 5%
24041;Obveza PDV-a za primljena dobra i usluge od poreznih obveznika bez sjedišta u RH – 13%
24042;Obveza PDV-a za primljena dobra i usluge od poreznih obveznika bez sjedišta u RH – 25%
2405;Obveza za obračunani PDV pri uvozu
24050;Obveza za obračunani PDV – 5%
24051;Obveza za obračunani PDV- 13%
24052;Obveza za obračunani PDV – 25%
2406;Obveze za PDV koje se ne izvještavaju u obrascu PDV-a
24060;Obveza za PDV po rješenju PU
2407;Obveza za razliku poreza i pretporeza u razdoblju oporezivanja
2408;Povrat PDV-a iz putničkog prometa fizičkim osobama iz inozemstva
2409;Obveza za PDV u drugim zemljama u kojima je porezni obveznik registriran za potrebe PDV-a (moguća analitika po zemljama)
24090;Obveza za PDV u Sloveniji
240900;Obveza za isporuke dobara (moguća analitika po stopama)
240901;Obveza za isporuke usluga (moguća analitika po stopama)
240902;Obveza za razliku poreza i pretporeza
24091;Obveza za PDV u Austriji
240910;Obveza za isporuke dobara (moguća analitika po stopama)
240911;Obveza za isporuke usluga (moguća analitika po stopama)
240912;Obveza za razliku poreza i pretporeza, itd.
24092;Obveza za PDV u …
241;Obveze za porez na dohodak
2410;Obveze za porez na dohodak iz plaća i primitaka izjednačenih s plaćom
24100;Za republički porez
24101;Za lokalni porez
2411;Obveze za prirez iz plaća i primitaka izjednačenih s plaćama (do 31. 12. 2023.)
2412;Obveze za porez na drugi dohodak (iz autorskih honorara, ugovora o djelu, dohodaka članova nadzornog odbora i dr.)
2413;Obveze za porez iz stipendija i nagrada učenika na praksi
2414;Obveze za porez za ostale dohotke
2417;Obveza za porez na dohodak od kapitala (36%) za izuzimanja zaposlenika
242;Obveze za doprinose za osiguranja
2420;Doprinos za MO iz plaća (I. stup)
2421;Doprinos za MO iz plaća (II. stup – analitika prema fondovima)
2422;Doprinos za MO za beneficirani staž (I. i II. stup)
2423;Doprinos za zdravstveno osiguranje na plaće
2424;Poseban doprinos za zdravstveno osiguranje na plaće za ozljede na radu i prof. bolesti
2426;Doprinos za zapošljavanje na plaću
2427;Doprinosi za osiguranja na druge dohotke
24270;Doprinos za MO I. stup
24271;Doprinos za MO II. stup
24272;Doprinos za zdravstveno osiguranje na honorar
2428;Doprinos HZZO-u na službena putovanja u inozemstvo
2429;Obveze za ostale nespomenute doprinose koji se plaćaju na dohotke
243;Obveze za porez na dobitak, dohodak od kapitala i porez po odbitku
2430;Obveze za porez na dobitak
2431;Obveze za porez na dohotke od kapitala
24310;Porez na dohodak od kapitala na izuzimanja ili privatni život članova društva i dioničara (36%)
24311;Porez na dohodak od kapitala na isplate dobitka ili dividendi (12%)
24312;Porez na dohodak od kapitala na kamate (na zajmove fizičkih osoba = 12%)
24313;Porez na dohodak od kapitala s osnove opcijskih dionica (24%)
2432;Obveze za porez po odbitku (na inozemne usluge intelektualnog vlasništva, na kamate inozemnim nebankarskim pravnim osobama – 15% i naknade za nastupe inozemnih izvođača – umjetnika, zabavljača 10% – čl. 31. st. 4. i 6. Zakona o porezu na dobit)
2433;Obveze za porez po odbitku za isplate pravnim osobama s područja država "poreznih utočišta" i nekooperativnih država – stopa 25 % (čl. 31., st. 10. Zakona o porezu na dobit)
2434;Obveze za porez na kapitalni dobitak
2435;Obveza za PD po rješenju poreznog nadzora
2436;Obveza za porez po tonaži broda
244;Obveze za posebne poreze, trošarine i druge poreze prema državi
2440;Obveza za posebni porez na motorna vozila (PPMV)
2441;Obveza za posebni porez na kavu
2442;Obveza za posebni porez na bezalkoholna pića
2443;Obveza za trošarinu na alkohol i alkoholna pića
2444;Obveza za trošarinu na energente i el. energiju
2445;Obveze za trošarinu na duhanske proizvode i duhanske prerađevine
2447;Obveza za 3% poreza na promet nekretnina
2448;Obveze za upravnu pristojbu
245;Obveze za članarinu turističkim zajednicama
246;Obveze za članarinu komori
2461;Obveze za paušal HOK-u
2462;Obveze za članarinu granskoj ili strukovnoj komori
247;Obveze za carinu i carinske pristojbe
2470;Obveze za carinu
2471;Obveze za carinu prema mjernoj jedinici (prelevmani)
2472;Obveze za carinske pristojbe i takse
